keys,en,_character_limit,_interface_location,_translator_note
pile_name_text,Pile,16,world_hover,Starting shared storage building
tree_name_text,Tree,16,world_hover,World object noun
dead_tree_name_text,Dead Tree,16,world_hover,Dead must remain visible because Dead Trees behave differently
palm_name_text,Palm,16,world_hover,World object noun
tree_resource_name_text,Tree %d/%d,16,world_hover,Remaining physical Log segments followed by maximum Tree capacity
dead_tree_resource_name_text,Dead Tree %d/%d,20,world_hover,Remaining physical Log segments followed by maximum Dead Tree capacity
palm_resource_name_text,Palm %d/%d,16,world_hover,Remaining physical Log segments followed by maximum Palm capacity
bush_name_text,Bush,16,world_hover,World object noun
cactus_name_text,Cactus,16,world_hover,World object noun
limestone_name_text,Limestone,16,world_hover,World object noun
log_name_text,Log,16,world_hover,World object noun
stump_name_text,Stump,16,world_hover,World object noun left after cutting a tree
sand_name_text,Sand,16,world_hover,World surface noun
soil_block_name_text,Soil block,16,world_hover,Player-added World Unit terrain cube
citizen_idle_status_text,Idle,32,citizen_status,Short state label
citizen_sleeping_status_text,Sleeping,32,citizen_status,Night state while lying on the ground
citizen_walking_status_text,Walking,32,citizen_status,Short state label
citizen_selected_status_text,Selected,32,citizen_status,Short state label
citizen_no_route_status_text,No route,32,citizen_status,Short failure state
citizen_walking_to_tree_status_text,Walking to tree,32,citizen_status,Current action
citizen_walking_to_bush_status_text,Walking to bush,32,citizen_status,Current action
citizen_walking_to_cactus_status_text,Walking to cactus,32,citizen_status,Current action
citizen_support_complete_status_text,Support complete,32,citizen_status,Construction result
citizen_support_needs_log_status_text,Support needs log,32,citizen_status,Construction requirement
citizen_fetching_log_status_text,Fetching log,32,citizen_status,Current action
citizen_tree_unavailable_status_text,Tree unavailable,32,citizen_status,Failure state
citizen_harvested_calorie_status_text,Harvested 1 calorie,32,citizen_status,Harvest result
citizen_bush_regrowing_status_text,Bush is regrowing,32,citizen_status,Failure state
citizen_harvesting_bush_status_text,Harvesting bush,32,citizen_status,Shown during timed bush harvesting work
citizen_collected_water_status_text,Collected 1 water,32,citizen_status,Collection result
citizen_cactus_unavailable_status_text,Cactus unavailable,32,citizen_status,Failure state
citizen_water_needs_vessel_status_text,Water needs a vessel,32,citizen_status,Water cannot enter an open Pile without pottery or a bottle
citizen_collecting_cactus_status_text,Collecting water,32,citizen_status,Shown during timed cactus collection work
citizen_log_unavailable_status_text,Log unavailable,32,citizen_status,Failure state
citizen_carrying_log_status_text,Carrying log,32,citizen_status,Current action
citizen_building_status_text,Building,32,citizen_status,Applying one carried building block to a Construction Site
citizen_carrying_food_status_text,Carrying food,32,citizen_status,Current action while returning harvested Calories to the Pile
citizen_construction_site_unavailable_status_text,Site unavailable,32,citizen_status,Failure state shown to the player with a short label
citizen_cutting_tree_status_text,Cutting tree,32,citizen_status,Current action
citizen_cut_log_status_text,Cut 1 log,32,citizen_status,Completed tree-cutting result
citizen_walking_to_excavation_status_text,Walking to excavation,40,citizen_status,Shown while travelling to an excavation assignment
citizen_digging_status_text,Excavating,24,citizen_status,Shown during timed excavation work
citizen_excavation_complete_status_text,Excavation complete,32,citizen_status,Shown after one sand World Unit is removed
citizen_excavation_unavailable_status_text,Excavation unavailable,40,citizen_status,Shown if an excavation assignment disappeared
citizen_sawing_plank_status_text,Sawing plank,32,citizen_status,Applying three seconds of work to convert one Log into one Plank
citizen_plank_complete_status_text,Plank complete,32,citizen_status,One Plank was produced and returned to storage
citizen_sawmill_needs_log_status_text,Sawmill needs log,32,citizen_status,Sawmill cannot begin its one Log to one Plank recipe
support_material_progress_text,Support %d/%d logs,32,world_hover,Construction tooltip showing delivered and required Logs
citizen_debug_hover_text,"debug · %s · %s · (%.2f, %.2f)",80,debug_hover,Citizen variant status and coordinates replace the placeholders
support_debug_hover_text,"debug · logs %d/%d · (%.0f, %.0f)",80,debug_hover,Log counts and coordinates replace the placeholders
world_item_debug_hover_text,debug · seed %d · logs %d · water %d,80,debug_hover,Seed log count and water count replace the placeholders
world_unit_debug_hover_text,"debug · World Unit (%d, %d)",48,debug_hover,World Unit coordinates replace the placeholders
pile_debug_hover_text,debug · logs %d · calories %d,48,debug_hover,Pile inventory counters replace the placeholders
